2018-12-25 19:58:36 status half-configured dpkg:amd64 1.18.25
2018-12-25 19:58:36 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:36 status half-installed dpkg:amd64 1.18.25
2018-12-25 19:58:37 status half-installed dpkg:amd64 1.18.25
2018-12-25 19:58:37 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:37 status unpacked dpkg:amd64 1.18.25
2018-12-25 19:58:37 install e2fslibs:amd64 <none> 1.43.4-2
2018-12-25 19:58:37 status half-installed e2fslibs:amd64 1.43.4-2
2018-12-25 19:58:37 status unpacked e2fslibs:amd64 1.43.4-2
2018-12-25 19:58:38 status unpacked e2fslibs:amd64 1.43.4-2
2018-12-25 19:58:38 install e2fsprogs:amd64 <none> 1.43.4-2
2018-12-25 19:58:38 status half-installed e2fsprogs:amd64 1.43.4-2
2018-12-25 19:58:38 status unpacked e2fsprogs:amd64 1.43.4-2
2018-12-25 19:58:38 status unpacked e2fsprogs:amd64 1.43.4-2
2018-12-25 19:58:38 install libcomerr2:amd64 <none> 1.43.4-2
2018-12-25 19:58:38 status half-installed libcomerr2:amd64 1.43.4-2
2018-12-25 19:58:38 status unpacked libcomerr2:amd64 1.43.4-2
2018-12-25 19:58:38 status unpacked libcomerr2:amd64 1.43.4-2
2018-12-25 19:58:39 install libss2:amd64 <none> 1.43.4-2
2018-12-25 19:58:39 status half-installed libss2:amd64 1.43.4-2
2018-12-25 19:58:39 status unpacked libss2:amd64 1.43.4-2
2018-12-25 19:58:39 status unpacked libss2:amd64 1.43.4-2
2018-12-25 19:58:39 install findutils:amd64 <none> 4.6.0+git+20161106-2
2018-12-25 19:58:39 status half-installed findutils:amd64 4.6.0+git+20161106-2
2018-12-25 19:58:39 status unpacked findutils:amd64 4.6.0+git+20161106-2
2018-12-25 19:58:39 status unpacked findutils:amd64 4.6.0+git+20161106-2
2018-12-25 19:58:39 install gcc-6-base:amd64 <none> 6.3.0-18+deb9u1
